gameID,genre
9443,Adventure
48034,Puzzle
48034,Strategy
48034,Card & Board Game
203044,NA
209197,NA
1554,Fighting
1554,Role-playing (RPG)
1554,Adventure
200904,Strategy
200904,Turn-based strategy (TBS)
200904,Tactical
84336,Hack and slash/Beat 'em up
6747,Puzzle
6747,Strategy
6747,Adventure
6747,Indie
6747,Card & Board Game
927,Shooter
12844,Shooter
12844,Racing
12844,Simulator
8877,Strategy
8877,Turn-based strategy (TBS)
8877,Tactical
14359,Point-and-click
14359,Adventure
85504,Puzzle
85504,Strategy
85504,Card & Board Game
4829,Role-playing (RPG)
5475,Role-playing (RPG)
5475,Strategy
5475,Turn-based strategy (TBS)
5475,Tactical
19591,Simulator
19591,Sport
11051,Shooter
11051,Arcade
7386,Puzzle
7386,Adventure
7386,Indie
8662,Music
8662,Visual Novel
5313,Fighting
5313,Hack and slash/Beat 'em up
5313,Adventure
895,Point-and-click
895,Adventure
477,Strategy
477,Tactical
20308,Adventure
17470,Point-and-click
17470,Adventure
36338,Simulator
13669,Strategy
13669,Hack and slash/Beat 'em up
222120,Visual Novel
1151,Point-and-click
1151,Adventure
21134,Adventure
6185,Point-and-click
6185,Puzzle
6185,Adventure
19962,Platform
19962,Role-playing (RPG)
19962,Adventure
19962,Arcade
46768,Sport
46768,Arcade
52602,Adventure
21027,Role-playing (RPG)
21027,Adventure
20925,Shooter
2025,Shooter
2025,Role-playing (RPG)
2025,Simulator
2025,Strategy
59157,Adventure
72480,NA
22059,Racing
22059,Simulator
22059,Sport
142473,Platform
51002,Puzzle
51002,Adventure
35315,Simulator
35315,Sport
35315,Strategy
21186,Platform
4777,Puzzle
4777,Strategy
147162,NA
21439,NA
67735,Simulator
64544,NA
66223,NA
3043,Role-playing (RPG)
3043,Strategy
3043,Adventure
3043,Indie
67861,Racing
2021,Shooter
2021,Role-playing (RPG)
2021,Simulator
2021,Adventure
2021,Indie
42670,Music
828,Shooter
7415,Puzzle
7415,Adventure
6988,Role-playing (RPG)
6988,Strategy
6988,Turn-based strategy (TBS)
209882,NA
18165,Shooter
18165,Real Time Strategy (RTS)
18165,Strategy
18165,Adventure
62085,Adventure
62085,Visual Novel
93600,Simulator
93600,Adventure
93600,Visual Novel
10909,Adventure
23107,NA
10644,Real Time Strategy (RTS)
10644,Strategy
98140,NA
5932,Racing
71864,Sport
6187,Fighting
6187,Shooter
6187,Puzzle
6187,Racing
6187,Role-playing (RPG)
6187,Simulator
6187,Sport
6187,Strategy
6187,Adventure
6187,Arcade
47820,Simulator
6026,Fighting
128874,Sport
44071,Sport
44071,Arcade
37846,Fighting
20589,Strategy
56766,Visual Novel
58465,Fighting
51044,Arcade
63385,Adventure
125786,Racing
125786,Visual Novel
11428,Racing
11428,Real Time Strategy (RTS)
11428,Simulator
43407,Adventure
23397,Simulator
52386,Simulator
6215,Sport
67760,NA
50732,Sport
51156,NA
77154,NA
48044,Puzzle
48044,Adventure
62126,Pinball
53148,Real Time Strategy (RTS)
53148,Strategy
27899,NA
21735,Puzzle
21735,Adventure
15793,Role-playing (RPG)
64668,Visual Novel
20539,Platform
23357,NA
14806,Puzzle
68236,NA
201909,NA
43396,Puzzle
152077,Shooter
3415,Puzzle
147012,Simulator
85589,Platform
21029,Role-playing (RPG)
21029,Strategy
21029,Adventure
206021,Visual Novel
193858,NA
78688,Sport
177,Racing
177,Sport
64871,Visual Novel
755,Simulator
23141,NA
37018,Adventure
37018,Visual Novel
14529,Platform
14529,Adventure
69120,Adventure
69120,Visual Novel
1054,Real Time Strategy (RTS)
1054,Strategy
1054,Indie
72681,Visual Novel
46000,NA
45128,Role-playing (RPG)
45128,Strategy
45128,Adventure
5881,Shooter
325,Shooter
325,Role-playing (RPG)
3850,Adventure
56242,Platform
159266,Platform
94739,Shooter
9258,Adventure
9258,Arcade
10253,Fighting
10253,Role-playing (RPG)
10253,Hack and slash/Beat 'em up
6573,Sport
4950,Racing
4950,Sport
5171,Point-and-click
5171,Puzzle
5171,Adventure
21272,Shooter
49030,Platform
197939,Puzzle
197939,Arcade
42687,Fighting
42687,Hack and slash/Beat 'em up
774,Role-playing (RPG)
774,Adventure
126283,Adventure
126283,Arcade
58722,Role-playing (RPG)
38462,Hack and slash/Beat 'em up
47340,Fighting
50636,Fighting
178079,Visual Novel
23694,Sport
166708,Puzzle
166708,Arcade
69179,Platform
69179,Puzzle
69179,Adventure
22564,Platform
5775,Shooter
222121,Visual Novel
13130,Role-playing (RPG)
13130,Simulator
13130,Strategy
13130,Adventure
3697,Real Time Strategy (RTS)
3697,Simulator
3697,Strategy
45116,Role-playing (RPG)
45116,Simulator
45116,Adventure
23806,Role-playing (RPG)
11829,Adventure
11829,Visual Novel
29190,Role-playing (RPG)
80061,Card & Board Game
3344,Sport
21653,Adventure
4273,Sport
5111,Puzzle
6615,Role-playing (RPG)
4797,Hack and slash/Beat 'em up
4797,Adventure
5856,Racing
3906,Sport
3909,Sport
6967,Simulator
6967,Sport
6967,Indie
24131,Shooter
24131,Arcade
51701,NA
749,Real Time Strategy (RTS)
749,Strategy
749,Adventure
4248,Adventure
4248,Arcade
3078,Shooter
3078,Tactical
4603,Platform
4603,Puzzle
47725,Sport
21049,Point-and-click
21049,Adventure
21049,Visual Novel
65754,Visual Novel
60932,NA
212736,Adventure
212736,Visual Novel
3406,Sport
9745,Adventure
77028,Adventure
38124,Shooter
38124,Platform
72686,Role-playing (RPG)
67746,Racing
67746,Sport
66178,NA
123274,Adventure
64802,Adventure
64802,Visual Novel
6158,Fighting
50664,NA
63417,NA
222445,NA
65167,Sport
65167,Strategy
61260,Visual Novel
5989,Simulator
69164,NA
21830,Strategy
21830,Quiz/Trivia
21830,Card & Board Game
21255,Role-playing (RPG)
78814,NA
94857,NA
94844,Sport
72743,Simulator
49704,Role-playing (RPG)
72968,Simulator
61940,Adventure
61940,Visual Novel
1338,Simulator
1338,Strategy
1338,Adventure
1338,Indie
21440,NA
20521,Role-playing (RPG)
20521,Adventure
49185,Role-playing (RPG)
20576,Strategy
