kglID,gameID,Title,Year,Publisher,Main_Genre
277,6440,Monster Hunter 4 Ultimate,2014,Nintendo,Role-Playing
278,2553,MotorStorm,2006,Sony Computer Entertainment,Racing
279,1246,Tekken 5,2005,Namco Bandai Games,Fighting
280,205589,Dragon Warrior III,1988,Enix Corporation,Role-Playing
281,18237,Sports Champions,2010,Sony Computer Entertainment,Sports
282,11525,NBA 2K16,2015,Take-Two Interactive,Sports
283,NA,World Soccer Winning Eleven 8 International,2004,Konami Digital Entertainment,Sports
284,21912,Flash Focus: Vision Training in Minutes a Day,2007,Nintendo,Misc
285,NA,Namco Museum Vol.1,1995,Sony Computer Entertainment,Misc
286,115284,The Legend of Zelda: Link's Awakening,1992,Nintendo,Action
287,3363,Mario & Luigi: Bowser's Inside Story,2009,Nintendo,Role-Playing
288,4713,Big Brain Academy: Wii Degree,2007,Nintendo,Misc
289,NA,Nintendogs + cats,2011,Nintendo,Simulation
290,5503,Batman: Arkham Knight,2015,Warner Bros. Interactive Entertainment,Action
291,132110,Mario & Sonic at the London 2012 Olympic Games,2011,Sega,Sports
292,194936,LEGO Indiana Jones: The Original Adventures,2008,Activision,Action
293,NA,Resident Evil Director's Cut,1996,Virgin Interactive,Action
294,1791,Ratchet & Clank: Size Matters,2007,Sony Computer Entertainment,Platform
295,3256,Just Dance 2014,2013,Ubisoft,Misc
296,5531,The Sims: Unleashed,2002,Electronic Arts,Simulation
297,2191,Super Paper Mario,2007,Nintendo,Platform
298,115430,Harry Potter and the Sorcerer's Stone,2001,Electronic Arts,Action
299,1942,The Witcher 3: Wild Hunt,2015,Namco Bandai Games,Role-Playing
300,966,Resident Evil 3: Nemesis,1999,Eidos Interactive,Action
301,1578,Spyro: Year of the Dragon,2000,Sony Computer Entertainment,Platform
302,703,FIFA Soccer 2005,2004,Electronic Arts,Sports
303,NA,Pokemon Trading Card Game,1998,Nintendo,Strategy
304,1979,Battlefield 4,2013,Electronic Arts,Shooter
305,201339,MySims,2007,Electronic Arts,Simulation
306,NA,Friend Collection,2009,Nintendo,Misc
307,210434,Tony Hawk's Pro Skater 4,2002,Activision,Sports
308,5928,Midnight Club 3: DUB Edition,2005,Take-Two Interactive,Racing
309,201644,Banjo-Kazooie,1998,Nintendo,Platform
310,NA,SOCOM: U.S. Navy SEALs,2002,Sony Computer Entertainment,Shooter
