gameID,ratingOrg,rating,ageAbove
18271,PEGI,Three,3
18272,ESRB,E,6
18272,PEGI,Three,3
18273,PEGI,Three,3
18273,ESRB,E,6
18274,ESRB,E,6
18274,PEGI,Three,3
18275,ESRB,E,6
18276,ESRB,M,17
18294,ESRB,M,17
18296,ESRB,E,6
18300,ESRB,M,17
18305,ESRB,M,17
18308,ESRB,E,6
18310,ESRB,T,13
18313,PEGI,Seven,7
18313,ESRB,E10,10
18314,ESRB,E10,10
18314,PEGI,Seven,7
18326,ESRB,E,6
18328,ESRB,E,6
18328,PEGI,Three,3
18329,ESRB,E,6
18329,PEGI,Three,3
18329,CERO,CERO_A,3
18340,ESRB,E,6
18340,PEGI,Three,3
18361,ESRB,T,13
18370,PEGI,Twelve,12
18370,ESRB,T,13
18373,PEGI,Seven,7
18373,ESRB,E,6
18373,CERO,CERO_A,3
18383,ESRB,E,6
18383,PEGI,Three,3
18386,ESRB,T,13
18386,PEGI,Twelve,12
18402,PEGI,Three,3
18402,ESRB,E,6
18408,ESRB,E,6
18441,ESRB,E,6
18443,ESRB,T,13
18443,PEGI,Twelve,12
18443,CERO,CERO_B,12
18487,PEGI,Twelve,12
18487,ESRB,T,13
18532,PEGI,Three,3
18532,ESRB,E,6
18532,CLASS_IND,CLASS_IND_Ten,10
18532,CERO,CERO_A,3
18538,CERO,CERO_A,3
18538,ESRB,E,6
18538,PEGI,Three,3
18538,USK,USK_0,0
18538,GRAC,GRAC_Twelve,12
18538,CLASS_IND,CLASS_IND_Ten,10
18538,ACB,ACB_PG,6
18548,ESRB,E,6
18548,PEGI,Three,3
18549,ESRB,E,6
18549,PEGI,Seven,7
18597,PEGI,Twelve,12
18597,CLASS_IND,CLASS_IND_Ten,10
18597,ESRB,E,6
18598,ESRB,E,6
18598,PEGI,Three,3
18599,ESRB,E,6
18599,PEGI,Three,3
18600,ESRB,T,13
18600,PEGI,Twelve,12
18616,PEGI,Three,3
18618,PEGI,Three,3
18626,PEGI,Three,3
18626,ESRB,T,13
18626,CLASS_IND,CLASS_IND_Fourteen,14
18626,CERO,CERO_B,12
18638,PEGI,Sixteen,16
18638,ESRB,T,13
18655,PEGI,Twelve,12
18655,ESRB,E10,10
18657,PEGI,Three,3
18657,CLASS_IND,CLASS_IND_Ten,10
18657,ESRB,E,6
18657,CERO,CERO_A,3
18696,PEGI,Three,3
18696,ESRB,E,6
18697,PEGI,Three,3
18697,ESRB,E,6
18698,PEGI,Three,3
18698,ESRB,E,6
18705,PEGI,Twelve,12
18705,ESRB,E,6
18715,PEGI,Three,3
18718,CERO,CERO_B,12
18725,PEGI,Three,3
18725,ESRB,T,13
18735,PEGI,Eighteen,18
18735,ESRB,M,17
18735,CERO,CERO_D,17
18735,GRAC,GRAC_Eighteen,18
