companyID,company
14462,Sirnic Games
14732,Denysoft
14786,Behind The Door Games
14847,ENTERGRAM
14908,Nostatic Software
14914,Chilla's Art
15003,Viktor Yurchuk
15005,Starsign
15108,SIGONO INC.
15116,Statespace
15161,Four Thirty Three Inc.
15190,Ultimate Games S.A.
15191,Solid9 Studio
15200,Rejected Games
15227,dev4play
15235,Etermax
15250,Denpasoft
15257,Graffiti Games
15274,Neutronized
15275,Naruto Rikku
15279,FossettGaming
15291,SONKA
15329,zplay
15342,Watercolor Games
15367,Özgün Bursalıoğlu
15381,Funcraft Games
15390,Matt Bitner Games
15408,Microids Indie
15415,Wonder Game
15432,10 Bytes
15436,Petite Games
15440,Archetype Studios
15520,Ketchapp Games
15537,Cat Nigiri
15554,Aleksandar Kuzmanovic Games
15562,Hoplon
15606,Unbroken Studios
15647,Personal Companion Software
15664,Ghost_RUS Games
15666,Gamedust
15683,Toplitz Productions
15763,Myoubouh Corp
15808,PLAYMIND
15820,Tivola
15847,Galat
15856,Denis Konovalov
15872,PsychoFlux Entertainment
15875,Mika Mobile
15893,Bread Machine Games
15914,OneShark
15925,Little Chicken Game Company B.V.
15968,10950
15979,12210
16009,Simon Says: Play!
16017,Lev Gogol
16036,ZLongame
16048,Kedexa
16066,"SHINSEI INDUSTRY CO.,LTD."
16069,Homa Games
16093,Stairfall Institute
16131,Varsav Game Studios
16221,Starbyte Software
16227,pujia8
16231,Arrowiz
16233,CubeGame
16255,Centrosphere Games
16265,Studio Egg Roll
16272,CHG
16275,Voodoo
16280,Konstructors Entertainment
16325,Narko Games
16334,Giant Margarita
16337,Thunderful
16347,Choice of Games
16360,rokaplay
16397,Another Indie Studio
16437,Team17
16499,Antarctic Games
16502,Comrade Studios
16565,Bethesda Softworks
16819,Nuclear Box
16852,NekoNyan
16854,FAT BOMB STUDIOS
16890,Perp Games
16993,Kiddy
17006,Axis Games
17008,GameTek UK Ltd.
17012,Dotoyou Games
17029,Sokpop Collective
17040,C's ware
17178,Mediola Srl
17183,HAMSTER
17184,Vitesse Inc.
17193,Nocturnal Software
17208,Ripknot Systems
17210,Just Flight
17223,Blueshift Media
17235,"Future Tech Lab Co., Ltd."
17251,G-Collections
17463,Epic Games
17541,Frosty Pop Games Inc.
17561,8FLOOR
17587,Baltoro Games
17647,SilverStar
17757,PocApp Studios
17827,Happy Hobgoblin
17909,Softstar Entertainment Inc.
17924,Hello There Games
17947,Ultimate Games
17956,Phoenix Online Studios LLC
17983,HH-Games
17984,Snapbreak
18010,Unexpected Studio
18055,HaDe
18089,Based On The Play
18104,Eastasiasoft Limited
18115,CREW Studio Krüger UG (haftungsbeschränkt
18161,Liar-soft
18195,HongbinGame
18237,独立创作
18258,HUNTERS
18283,Labory
18474,1C Entertainment
18476,Games Operators
18479,Jestercraft
18500,2 Zombie Games
18505,Silesia Games
18532,Koei Tecmo
18559,Tower Up Studios
18629,Fellow Traveller
18650,Opposable Games
18770,Yamasa
18780,Kev Jackson
18787,Alawar Premium
18868,DNVR production
18890,Atriagames
18968,Svarun Entertainment
19026,Toshiba EMI
19037,Tiny Lab Racing Games
19075,Lingtan Studio
19239,Kanawo
19251,Primitive Studio
19268,iMeL
19310,Patra
19320,Ocean Software Ltd.
19700,Limited Run
19837,TGA Company
19873,Applava
19903,Silver Spook Games
19913,Bart Bonte
19971,Suncrash
20207,QubicGames S.A.
20233,EasyGames
20320,Free Style Games
20422,Line Games
20460,Outfit7
20550,Hamsters Gaming
20576,(Archive) Triority
20611,Kagura Games
20621,Triple D Media
20701,dsquare
20812,Moloch Media
20930,Ivan Panasenko
21049,^|Ask
21221,Cleaversoft
21312,Red Art Games
21386,No Gravity Games
21424,MY.GAMES
21647,Keybol Games
21703,DifferenceGames
21717,Yahoo! Games
21759,Reiti.net
21767,William Volk
21799,Levande Böcker
21830,HIDEA
21867,Aackosoft
22405,Sol 6 Studios
22584,GOAT games
22904,XNZONE
22915,CHARON
22960,BezDoesGames
22994,NVIDIA Lightspeed Studios
23247,SimonCreative
23343,Bare Knuckle Development
23758,Insoft
23967,R: Armor Games Studios
23997,Good Deal Games
24057,Hardlane Studio
24060,PlayWay
24075,tulevik.EU
24133,CDV Software
24160,Applimazing
24267,Sonaloux Entertainment
24284,Spherical Ice
24286,LinkandZelda
24587,EpiXR Games
24588,HiderumStudios
24605,emptyfortress
24658,Jack Gloyens
24666,Jared Skinner
24678,Honeybee
24733,SukeraSomero
24760,Nacon
24795,Daniel Nora
24818,Ratalaika Games
25108,Strange Scaffold
25238,Vertical Robot
25423,Gammera Nest
25435,TEAM PENROSE GAME STUDIO
25436,Gengosha
25633,Visit
25679,Cupfox Studio
25732,Sofdelux Studio
25846,Classic Game Creations
25912,Wah Lap
25964,Motorsport Games
26280,Peter Sjöstrand
26290,Grimhelm
26630,PokéCommunity
26781,Dnovel
26904,Future Cat
27029,Antler Interactive
27044,SVGames
27106,RoseHoodGames
27773,RyseUp Studios
27775,Youtouch
27976,Mycom
28005,Increment-P
28351,Triennale di Milano
28518,Lululu Entertainment
28641,Cinamon Games
28885,Summitsphere
28960,Harmonious
29363,The Arkanya Team
29993,Game Museum
30214,CloudScapeGT
30222,Taylor Swietanski
30266,FYRE Games
30427,BubbleBox
30630,Matra
30900,Starcade Arcade
31199,Pix Arts
31219,Lily Valeen
31580,Atelier Sakura
31592,Limited Run Games
31609,HAEGIN
31786,Maximize Games
31932,Mens Sana Interactive
31951,Breakthrough Gaming LLC
31969,Creative Hand
32094,Game Nacional
32578,Denda Games
32708,Yima VLG.
32792,Demensa
32964,Soy Boy Games
33034,David M Tippy
33037,Borealis
33069,Demios
33145,Flat Cat Games
33210,Unusualsoft
33229,The Tetris Company
33866,Bank of Innovation
33975,RedScarX
34064,Tiger Electronics
34187,tobspr IT Solutions
34203,Gaia Interactive
34211,Chemical Games Studio
34268,Rebound CG.
34377,Hung Hsi Enterprise Taiwan
34407,"Disney Platform Distribution, Inc."
34434,KuYou Games
34447,Noki Studio
34525,Akira Takaba
34704,KuroGameStudio
34982,Grapes Pickers
35369,Michael Fauenhofer
