ageID,ratingOrgID,ratingID,ratingOrg,rating,ageAbove
81781,5,23,GRAC,GRAC_Twelve,12
81782,5,23,GRAC,GRAC_Twelve,12
81783,5,26,GRAC,GRAC_TESTING,NA
81786,5,24,GRAC,GRAC_Fifteen,15
81796,5,25,GRAC,GRAC_Eighteen,18
81799,5,23,GRAC,GRAC_Twelve,12
81800,5,23,GRAC,GRAC_Twelve,12
81802,5,23,GRAC,GRAC_Twelve,12
81803,5,23,GRAC,GRAC_Twelve,12
81804,5,23,GRAC,GRAC_Twelve,12
81806,5,23,GRAC,GRAC_Twelve,12
81808,5,23,GRAC,GRAC_Twelve,12
81809,5,24,GRAC,GRAC_Fifteen,15
81818,5,23,GRAC,GRAC_Twelve,12
81820,5,23,GRAC,GRAC_Twelve,12
81821,5,26,GRAC,GRAC_TESTING,NA
81822,5,26,GRAC,GRAC_TESTING,NA
81823,5,25,GRAC,GRAC_Eighteen,18
81824,5,25,GRAC,GRAC_Eighteen,18
81831,2,3,PEGI,Twelve,12
81840,5,23,GRAC,GRAC_Twelve,12
81841,5,24,GRAC,GRAC_Fifteen,15
81842,5,26,GRAC,GRAC_TESTING,NA
81844,5,23,GRAC,GRAC_Twelve,12
81845,5,24,GRAC,GRAC_Fifteen,15
81848,2,3,PEGI,Twelve,12
81850,1,9,ESRB,E10,10
81856,1,8,ESRB,E,6
81857,1,8,ESRB,E,6
81858,1,8,ESRB,E,6
81866,1,8,ESRB,E,6
81868,1,9,ESRB,E10,10
81873,1,9,ESRB,E10,10
81875,1,8,ESRB,E,6
81890,1,10,ESRB,T,13
81917,1,8,ESRB,E,6
81946,1,8,ESRB,E,6
81951,1,9,ESRB,E10,10
81952,1,8,ESRB,E,6
81953,1,8,ESRB,E,6
81954,1,9,ESRB,E10,10
81966,2,1,PEGI,Three,3
82014,1,8,ESRB,E,6
82036,1,8,ESRB,E,6
82059,1,8,ESRB,E,6
82060,1,8,ESRB,E,6
82061,1,8,ESRB,E,6
82071,1,8,ESRB,E,6
82086,2,3,PEGI,Twelve,12
82099,1,9,ESRB,E10,10
82100,1,10,ESRB,T,13
82101,1,9,ESRB,E10,10
82103,1,8,ESRB,E,6
82124,1,8,ESRB,E,6
82129,1,8,ESRB,E,6
82132,1,8,ESRB,E,6
82135,5,24,GRAC,GRAC_Fifteen,15
82150,5,26,GRAC,GRAC_TESTING,NA
82157,2,2,PEGI,Seven,7
82158,1,8,ESRB,E,6
82159,1,8,ESRB,E,6
82160,1,8,ESRB,E,6
82162,1,11,ESRB,M,17
82165,1,11,ESRB,M,17
82167,1,8,ESRB,E,6
82168,1,11,ESRB,M,17
82169,1,8,ESRB,E,6
82177,1,9,ESRB,E10,10
82179,1,10,ESRB,T,13
82180,1,10,ESRB,T,13
82181,2,2,PEGI,Seven,7
82183,1,8,ESRB,E,6
82191,1,8,ESRB,E,6
82364,1,9,ESRB,E10,10
82469,1,11,ESRB,M,17
82539,3,13,CERO,CERO_A,3
82540,3,13,CERO,CERO_A,3
82543,3,13,CERO,CERO_A,3
82544,3,13,CERO,CERO_A,3
82546,3,13,CERO,CERO_A,3
82551,3,13,CERO,CERO_A,3
82553,3,13,CERO,CERO_A,3
82556,1,9,ESRB,E10,10
82557,1,9,ESRB,E10,10
82562,3,13,CERO,CERO_A,3
82563,3,13,CERO,CERO_A,3
